Provincias;Sexo;Periodo;Total
06 Badajoz;Ambos sexos;1999;78,17
06 Badajoz;Ambos sexos;1998;78,39
06 Badajoz;Ambos sexos;1997;78,15
06 Badajoz;Ambos sexos;1996;77,46
07 Balears, Illes;Ambos sexos;2023;83,71
07 Balears, Illes;Ambos sexos;2022;82,90
07 Balears, Illes;Ambos sexos;2021;83,00
07 Balears, Illes;Ambos sexos;2020;83,11
07 Balears, Illes;Ambos sexos;2019;83,40
07 Balears, Illes;Ambos sexos;2018;82,97
07 Balears, Illes;Ambos sexos;2017;82,68
07 Balears, Illes;Ambos sexos;2016;82,86
07 Balears, Illes;Ambos sexos;2015;82,28
07 Balears, Illes;Ambos sexos;2014;82,60
07 Balears, Illes;Ambos sexos;2013;82,56
07 Balears, Illes;Ambos sexos;2012;81,85
07 Balears, Illes;Ambos sexos;2011;81,93
07 Balears, Illes;Ambos sexos;2010;81,56
07 Balears, Illes;Ambos sexos;2009;81,15
07 Balears, Illes;Ambos sexos;2008;81,19
07 Balears, Illes;Ambos sexos;2007;81,26
07 Balears, Illes;Ambos sexos;2006;80,85
07 Balears, Illes;Ambos sexos;2005;80,33
07 Balears, Illes;Ambos sexos;2004;80,27
07 Balears, Illes;Ambos sexos;2003;79,78
07 Balears, Illes;Ambos sexos;2002;79,47
07 Balears, Illes;Ambos sexos;2001;79,14
07 Balears, Illes;Ambos sexos;2000;78,42
07 Balears, Illes;Ambos sexos;1999;78,13
07 Balears, Illes;Ambos sexos;1998;78,46
07 Balears, Illes;Ambos sexos;1997;78,28
07 Balears, Illes;Ambos sexos;1996;77,66
08 Barcelona;Ambos sexos;2023;84,15
08 Barcelona;Ambos sexos;2022;83,69
08 Barcelona;Ambos sexos;2021;83,48
08 Barcelona;Ambos sexos;2020;82,22
08 Barcelona;Ambos sexos;2019;84,01
08 Barcelona;Ambos sexos;2018;83,54
08 Barcelona;Ambos sexos;2017;83,40
08 Barcelona;Ambos sexos;2016;83,53
08 Barcelona;Ambos sexos;2015;83,23
08 Barcelona;Ambos sexos;2014;83,27
08 Barcelona;Ambos sexos;2013;83,06
08 Barcelona;Ambos sexos;2012;82,57
08 Barcelona;Ambos sexos;2011;82,66
08 Barcelona;Ambos sexos;2010;82,34
08 Barcelona;Ambos sexos;2009;81,98
08 Barcelona;Ambos sexos;2008;81,69
08 Barcelona;Ambos sexos;2007;81,40
08 Barcelona;Ambos sexos;2006;81,38
08 Barcelona;Ambos sexos;2005;80,54
08 Barcelona;Ambos sexos;2004;80,74
08 Barcelona;Ambos sexos;2003;80,05
08 Barcelona;Ambos sexos;2002;80,15
08 Barcelona;Ambos sexos;2001;79,87
08 Barcelona;Ambos sexos;2000;79,71
08 Barcelona;Ambos sexos;1999;79,00
08 Barcelona;Ambos sexos;1998;79,20
08 Barcelona;Ambos sexos;1997;78,92
08 Barcelona;Ambos sexos;1996;78,65
48 Bizkaia;Ambos sexos;2023;84,42
48 Bizkaia;Ambos sexos;2022;83,39
48 Bizkaia;Ambos sexos;2021;83,70
48 Bizkaia;Ambos sexos;2020;82,99
48 Bizkaia;Ambos sexos;2019;83,65
48 Bizkaia;Ambos sexos;2018;83,49
48 Bizkaia;Ambos sexos;2017;83,50
48 Bizkaia;Ambos sexos;2016;83,14
48 Bizkaia;Ambos sexos;2015;82,98
48 Bizkaia;Ambos sexos;2014;83,10
48 Bizkaia;Ambos sexos;2013;83,13
48 Bizkaia;Ambos sexos;2012;82,50
48 Bizkaia;Ambos sexos;2011;82,14
48 Bizkaia;Ambos sexos;2010;82,03
48 Bizkaia;Ambos sexos;2009;81,74
48 Bizkaia;Ambos sexos;2008;81,48
48 Bizkaia;Ambos sexos;2007;81,19
48 Bizkaia;Ambos sexos;2006;81,11
48 Bizkaia;Ambos sexos;2005;80,64
48 Bizkaia;Ambos sexos;2004;80,45
48 Bizkaia;Ambos sexos;2003;79,94
48 Bizkaia;Ambos sexos;2002;79,85
48 Bizkaia;Ambos sexos;2001;80,08
48 Bizkaia;Ambos sexos;2000;79,30
48 Bizkaia;Ambos sexos;1999;79,29
48 Bizkaia;Ambos sexos;1998;78,91
48 Bizkaia;Ambos sexos;1997;78,90
48 Bizkaia;Ambos sexos;1996;78,05
09 Burgos;Ambos sexos;2023;84,23
09 Burgos;Ambos sexos;2022;83,87
09 Burgos;Ambos sexos;2021;84,55
09 Burgos;Ambos sexos;2020;83,18
09 Burgos;Ambos sexos;2019;84,52
09 Burgos;Ambos sexos;2018;84,08
09 Burgos;Ambos sexos;2017;83,82
09 Burgos;Ambos sexos;2016;84,09
09 Burgos;Ambos sexos;2015;84,22
09 Burgos;Ambos sexos;2014;83,60
09 Burgos;Ambos sexos;2013;83,57
09 Burgos;Ambos sexos;2012;82,89
09 Burgos;Ambos sexos;2011;82,96
09 Burgos;Ambos sexos;2010;83,17
09 Burgos;Ambos sexos;2009;82,34
09 Burgos;Ambos sexos;2008;82,09
09 Burgos;Ambos sexos;2007;82,09
09 Burgos;Ambos sexos;2006;82,15
09 Burgos;Ambos sexos;2005;80,81
09 Burgos;Ambos sexos;2004;81,95
09 Burgos;Ambos sexos;2003;80,91
09 Burgos;Ambos sexos;2002;80,88
09 Burgos;Ambos sexos;2001;81,40
09 Burgos;Ambos sexos;2000;80,47
09 Burgos;Ambos sexos;1999;80,26
09 Burgos;Ambos sexos;1998;79,79
09 Burgos;Ambos sexos;1997;79,54
09 Burgos;Ambos sexos;1996;79,61
10 Cáceres;Ambos sexos;2023;83,28
10 Cáceres;Ambos sexos;2022;82,53
10 Cáceres;Ambos sexos;2021;82,62
10 Cáceres;Ambos sexos;2020;81,72
10 Cáceres;Ambos sexos;2019;83,47
10 Cáceres;Ambos sexos;2018;82,88
10 Cáceres;Ambos sexos;2017;82,47
10 Cáceres;Ambos sexos;2016;82,82
10 Cáceres;Ambos sexos;2015;82,54
10 Cáceres;Ambos sexos;2014;83,21
10 Cáceres;Ambos sexos;2013;82,34
10 Cáceres;Ambos sexos;2012;82,01
10 Cáceres;Ambos sexos;2011;82,19
10 Cáceres;Ambos sexos;2010;81,99
10 Cáceres;Ambos sexos;2009;81,86
10 Cáceres;Ambos sexos;2008;81,69
10 Cáceres;Ambos sexos;2007;80,73
10 Cáceres;Ambos sexos;2006;81,20
10 Cáceres;Ambos sexos;2005;80,17
10 Cáceres;Ambos sexos;2004;80,19
10 Cáceres;Ambos sexos;2003;79,43
10 Cáceres;Ambos sexos;2002;80,13
10 Cáceres;Ambos sexos;2001;79,67
10 Cáceres;Ambos sexos;2000;79,49
10 Cáceres;Ambos sexos;1999;79,16
10 Cáceres;Ambos sexos;1998;78,89
10 Cáceres;Ambos sexos;1997;78,91
10 Cáceres;Ambos sexos;1996;78,70
11 Cádiz;Ambos sexos;2023;82,01
11 Cádiz;Ambos sexos;2022;81,44
11 Cádiz;Ambos sexos;2021;80,75
11 Cádiz;Ambos sexos;2020;81,08
11 Cádiz;Ambos sexos;2019;81,71
11 Cádiz;Ambos sexos;2018;81,01
11 Cádiz;Ambos sexos;2017;81,27
11 Cádiz;Ambos sexos;2016;81,05
11 Cádiz;Ambos sexos;2015;80,82
11 Cádiz;Ambos sexos;2014;81,17
11 Cádiz;Ambos sexos;2013;80,66
11 Cádiz;Ambos sexos;2012;80,02
11 Cádiz;Ambos sexos;2011;80,26
11 Cádiz;Ambos sexos;2010;80,18
11 Cádiz;Ambos sexos;2009;79,75
11 Cádiz;Ambos sexos;2008;79,57
11 Cádiz;Ambos sexos;2007;79,86
11 Cádiz;Ambos sexos;2006;79,34
11 Cádiz;Ambos sexos;2005;78,09
11 Cádiz;Ambos sexos;2004;78,02
