Provincia;Ano;%mujeres
09;2012;49.56289836520255
09;2013;49.726867215446276
09;2014;49.882256745707274
09;2015;49.961263949099184
09;2016;50.022023465685126
09;2017;50.04648617559769
09;2018;50.05545131206767
09;2019;50.06975610576034
09;2020;50.06906193205648
09;2021;50.030191964724544
09;2023;50.01225196806038
10;1998;49.99358999644984
10;1999;49.88005839358942
10;2000;49.957550804081016
10;2001;49.84601471414954
10;2002;49.82278752541183
10;2003;49.82763741534027
10;2004;49.880891611366344
10;2005;49.88996073488778
10;2006;49.96524573806185
10;2007;50.06913209454452
10;2008;50.07272762534606
10;2009;50.28491440479846
10;2010;50.285123698151935
10;2011;50.27681094534549
10;2012;50.28155426659284
10;2013;50.33623788922065
10;2014;50.33997793018402
10;2015;50.352354486089204
10;2016;50.38336244162858
10;2017;50.38096571308582
10;2018;50.409723395722935
10;2019;50.428135410033214
10;2020;50.46982263621283
10;2021;50.46924976511842
10;2023;50.50192751511713
11;1998;50.4173423724406
11;1999;50.376584431890635
11;2000;50.407917483257116
11;2001;50.383879025514744
11;2002;50.38249708755226
11;2003;50.334855034593026
11;2004;50.27894817300971
11;2005;50.22937508521642
11;2006;50.19965462429924
11;2007;50.15235935438397
11;2008;50.132531235994094
11;2009;50.431742719369666
11;2010;50.4476692333629
11;2011;50.47401768690305
11;2012;50.473511922927415
11;2013;50.522893971055126
11;2014;50.54407644082488
11;2015;50.56825694760232
11;2016;50.57154309780956
11;2017;50.607252498114065
11;2018;50.64583107965196
11;2019;50.66818260620648
11;2020;50.68031886203839
11;2021;50.713987607948894
11;2023;50.73336857074337
12;1998;50.56853623037738
12;1999;50.50641703801067
12;2000;50.4474213982314
12;2001;50.29752273931154
12;2002;50.041597088802305
12;2003;49.938734830840595
12;2004;49.91912315467104
12;2005;49.81635236791356
12;2006;49.73926372148113
12;2007;49.749163587902636
12;2008;49.60137162451779
12;2009;49.616553849321186
12;2010;49.776094950304
12;2011;49.886984896019484
12;2012;49.893311543525584
12;2013;49.97631706218558
12;2014;50.16169992578825
12;2015;50.24788477951392
12;2016;50.314288427176756
12;2017;50.394112638365165
12;2018;50.36228241387559
12;2019;50.32829737120708
12;2020;50.34085281510955
12;2021;50.36060804273469
12;2023;50.374862855053024
13;1998;50.993797369617546
13;1999;50.984267993078504
13;2000;51.002553327193034
13;2001;50.89901187050886
13;2002;50.782304919291896
13;2003;50.662743248508214
13;2004;50.55973252940675
13;2005;50.44694636643603
13;2006;50.36834338205121
13;2007;50.31129808163537
13;2008;50.10003005687833
13;2009;50.11350856197833
13;2010;50.118707420677566
13;2011;50.19040882727401
13;2012;50.199528524281
13;2013;50.303450535467334
13;2014;50.3634435628054
13;2015;50.44489822138042
13;2016;50.51234197692587
13;2017;50.58916227928799
13;2018;50.57984371869365
13;2019;50.60583627998169
13;2020;50.541465927339935
13;2021;50.51411820354006
13;2023;50.50631002880975
14;1998;51.08756150813048
14;1999;51.05389006551525
14;2000;51.08035624911438
14;2001;51.078642195874615
14;2002;51.068236136272574
14;2003;51.028811357520645
14;2004;50.99016502750459
14;2005;50.94839719726254
14;2006;50.91394377935955
14;2007;50.87328416954689
14;2008;50.84536980704086
14;2009;50.84253940930201
14;2010;50.867461259855816
14;2011;50.87738891639584
14;2012;50.8637684618234
14;2013;50.87510063283409
14;2014;50.882784881699074
14;2015;50.9108094282256
14;2016;50.926592640315306
14;2017;50.93546336741439
14;2018;50.95957923692119
14;2019;50.983359706965324
14;2020;51.003197897245
14;2021;51.01977499681381
14;2023;51.02775016052527
15;1998;51.93374460488555
15;1999;51.94295659074104
15;2000;52.02680574764598
15;2001;51.98212638605345
15;2002;51.981228291389584
15;2003;51.9573274423767
15;2004;51.95372695622395
15;2005;51.967192890432024
15;2006;51.97588255142625
15;2007;51.94598831912655
15;2008;51.88948320678839
15;2009;51.91211082089031
15;2010;51.91119081553794
15;2011;51.92533675522437
15;2012;51.91854960744323
15;2013;51.93307449473317
15;2014;51.96802429517937
15;2015;51.978892756894105
15;2016;52.005835416668525
15;2017;52.038393493136624
15;2018;52.058201582881516
15;2019;52.083608730292
15;2020;52.06152529606041
15;2021;52.05895008989996
15;2023;52.05534409120963
16;1998;50.25717529108024
16;1999;50.19580718838791
16;2000;50.199201205652244
16;2001;50.06599644710856
16;2002;49.8804646502723
16;2003;49.7295326679213
16;2004;49.67048976758284
16;2005;49.55523286564667
16;2006;49.63569428998735
16;2007;49.55269071555293
16;2008;49.339910997147825
16;2009;49.263674130371776
16;2010;49.29908688383031
16;2011;49.323257490713615
16;2012;49.33864132528573
16;2013;49.45186150005427
16;2014;49.58471720760283
16;2015;49.67499178281111
16;2016;49.720745408338345
16;2017;49.767509737416844
16;2018;49.80326738396325
16;2019;49.807720713699965
16;2020;49.816201775271615
16;2021;49.81587184680538
16;2023;49.78408421484005
17;1998;50.404185636359955
17;1999;50.32673832741783
17;2000;50.23682856582137
17;2001;50.08763909255586
17;2002;49.89951714729014
17;2003;49.73083402722643
17;2004;49.68578964410451
17;2005;49.40512200040331
17;2006;49.235230187493364
17;2007;49.28977534215539
17;2008;49.13453865745549
17;2009;49.23266406519547
17;2010;49.435625446519865
17;2011;49.59791757508489
17;2012;49.65672172861519
17;2013;49.754605898911805
17;2014;49.85492411618767
17;2015;49.94568782583985
17;2016;49.97943140439717
17;2017;50.032154936510544
17;2018;50.03720731231962
17;2019;50.02905151975763
17;2020;49.963033456640424
17;2021;49.94012173974951
17;2023;49.91379723193334
18;1998;51.08858591796819
18;1999;51.07980828006755
18;2000;51.09307246935738
18;2001;50.99017150338958
18;2002;50.89851872926483
18;2003;50.81638000886359
18;2004;50.75699161327192
18;2005;50.66570023394177
18;2006;50.54463446034166
18;2007;50.48269481132769
18;2008;50.36949912341049
18;2009;50.54329379300617
18;2010;50.577514617589905
18;2011;50.561462333026874
18;2012;50.56862507151154
18;2013;50.6515148713341
18;2014;50.68741809006422
18;2015;50.73493099835713
18;2016;50.715321960427886
18;2017;50.7281984099687
18;2018;50.73672669462489
18;2019;50.741681772164625
18;2020;50.76036154435315
18;2021;50.758245074011924
18;2023;50.740954048159026
19;1998;49.498842033251535
19;1999;49.53021296599843
19;2000;49.50739958995325
19;2001;49.41993330690483
19;2002;49.25321077176659
19;2003;49.09205602941652
19;2004;48.99207376503896
19;2005;48.913550312412575
19;2006;48.92203929650359
19;2007;48.76827504953676
19;2008;48.55606067615135
19;2009;48.564905281717316
19;2010;48.6530213107651
19;2011;48.712669762653974
19;2012;48.75143043188447
19;2013;48.86137442137489
19;2014;49.027506988325385
19;2015;49.168657316525156
19;2016;49.278714973782236
19;2017;49.33441238008764
19;2018;49.33151926010979
19;2019;49.358710748675136
19;2020;49.29712399091586
19;2021;49.31096284470684
19;2023;49.31879296005251
20;1998;50.94842254807899
20;1999;50.87697021150935
20;2000;50.91010789407834
20;2001;50.88571894910664
20;2002;50.85193205627715
20;2003;50.847291705629324
20;2004;50.83093837989958
20;2005;50.83475144763818
20;2006;50.85222468727191
20;2007;50.87373946677718
20;2008;50.83431280810663
20;2009;50.85433145623198
20;2010;50.93381104341667
20;2011;51.007670442935314
20;2012;51.0382714714428
20;2013;51.03079496454278
20;2014;51.057123840100225
20;2015;51.06272860941306
20;2016;51.103043609089596
20;2017;51.164911675810046
20;2018;51.19346315251904
20;2019;51.164355921147184
20;2020;51.15943563725982
20;2021;51.14312985773374
20;2023;51.137740917536554
21;1998;50.56084483586587
21;1999;50.552231987707295
21;2000;50.541396694538975
21;2001;50.453511792606065
21;2002;50.315743739971694
21;2003;50.27960867485385
21;2004;50.25330024522401
21;2005;50.15585210172967
21;2006;50.00629858545962
21;2007;50.13754066441485
21;2008;50.30782709705364
21;2009;50.30336791954858
21;2010;50.25565500375424
21;2011;50.31074701897435
21;2012;50.394176666118405
21;2013;50.37394270437208
21;2014;50.399149508213135
21;2015;50.44412009607379
21;2016;50.428602221726116
21;2017;50.35688821228297
21;2018;50.43332589646339
21;2019;50.483262115086134
21;2020;50.50412185901373
21;2021;50.44434090541709
21;2023;50.40575834542129
22;1998;49.816545990358904
22;1999;49.795306407566606
22;2000;49.75417417125055
22;2001;49.64385424000388
22;2002;49.48100859960854
22;2003;49.37572768664275
22;2004;49.290515309932786
22;2005;49.1026757588111
22;2006;49.095737605665455
22;2007;49.12565252354536
22;2008;48.97745382228516
22;2009;48.938089129587716
22;2010;49.01953921405634
22;2011;49.1051449240457
22;2012;49.249809981151884
22;2013;49.28577424899151
22;2014;49.383973073554195
22;2015;49.47444921470196
22;2016;49.52166420148454
22;2017;49.543472521870534
22;2018;49.57760605438921
22;2019;49.54753902050703
22;2020;49.49009147368279
22;2021;49.34229301180751
22;2023;49.27125470158257
23;1998;50.5611713988405
23;1999;50.5492086654291
23;2000;50.565655533202936
23;2001;50.50752499686426
23;2002;50.481705687633514
23;2003;50.41338930114417
23;2004;50.359381350674916
23;2005;50.31819641245282
23;2006;50.28359066979906
23;2007;50.27499390741069
23;2008;50.172450474800655
23;2009;50.354443684661575
23;2010;50.36980384965732
23;2011;50.28571428571429
23;2012;50.13353385791998
23;2013;50.29372131216575
23;2014;50.44512186794895
23;2015;50.492838253053485
23;2016;50.50335518704203
23;2017;50.51469811215197
23;2018;50.548582586714595
23;2019;50.540750421425464
23;2020;50.52686096033931
23;2021;50.52169199126262
23;2023;50.50427968404565
24;1998;51.10858767884826
24;1999;51.10135811463127
24;2000;51.15412571815475
24;2001;51.18364339952394
24;2002;51.19167228760407
24;2003;51.18810962947431
24;2004;51.221383341451535
24;2005;51.24923876088421
24;2006;51.21642316793885
24;2007;51.156946200845624
24;2008;51.06237504998001
24;2009;51.07333721202334
24;2010;51.09016111071054
24;2011;51.1216374480463
24;2012;51.10759205664465
24;2013;51.163241804015094
24;2014;51.19869443401404
24;2015;51.25856548357825
24;2016;51.28271720678035
24;2017;51.302325780028866
24;2018;51.3427609079108
24;2019;51.360105738900565
24;2020;51.38364600746211
24;2021;51.399361531615696
24;2023;51.42231117477615
25;1998;50.223384548327346
25;1999;50.16459771650234
25;2000;50.1833568406206
25;2001;50.04095632330018
25;2002;49.865653339801376
25;2003;49.68792947762281
25;2004;49.52426952520437
25;2005;49.02400616865153
25;2006;48.87508098239001
25;2007;48.97093100491528
25;2008;48.84204164245956
25;2009;48.87855692687018
25;2010;48.97377708246166
25;2011;49.042748492001046
25;2012;49.13572834467939
25;2013;49.246680199131355
25;2014;49.34006999984018
25;2015;49.37974309048251
25;2016;49.33266672964075
25;2017;49.336931986382474
25;2018;49.28938747787999
25;2019;49.215276021428735
25;2020;49.07312601335866
