Código,Siglas,Denominación,Clasificacion
000184,PCPE,PARTIDO COMUNISTA DEL PUEBLO CASTELLANO-PCPE,Izquierda
000185,PCPC,PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA,Izquierda
000186,PCPC,PARTIDO COMUNISTA DEL PUEBLO DE CATALUÑA,Izquierda
000187,PCPG,PARTIDO COMUNISTA DO POBO GALEGO,Izquierda
000188,P.C.P.G.,PARTIDO COMUNISTA DO POVO GALEGO,Izquierda
000189,PCPE,PARTIDO COMUNISTA PUEBLOS DE ESPAÑA,Izquierda
000190,PAIE,PARTIDO DE ALIANZA IBEROAMERICANA EUROPEA,Centro Derecha
000191,PdeAL,PARTIDO DE ALMERIA,Regionalista Derecha
000193,PLCI,PARTIDO DE LAS LIBERTADES CIVILES,Centro Derecha
000194,PNF (NO-FUMADORES),PARTIDO DE LOS NO-FUMADORES,Centro Derecha
000195,PDLPEA,PARTIDO DE LOS PENSIONISTAS EN ACCION,Centro Derecha
000197,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000198,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro Izquierda
000199,PFyV,PARTIDO FAMILIA Y VIDA,Derecha
000200,PHache,PARTIDO HACHE,Centro Derecha
000201,P.H.,PARTIDO HUMANISTA,Centro Izquierda
000202,PH,PARTIDO HUMANISTA,Centro Izquierda
000203,IR-PRE,PARTIDO IZQUIERDA REPUBLICANA-PARTIT REPUBLICA D'ESQUERRA,Izquierda
000204,P.L.E.V.E.,PARTIDO LIBERAL DEL EMPLEO Y LA VIVIENDA ESTATAL,Centro Derecha
000205,PLCI,PARTIDO LIBERTADES CIVILES,Centro Derecha
000206,P.O.S.I.,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA,Izquierda
000207,POSI,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA,Izquierda
000208,aralar,PARTIDO POLITICO ARALAR,Regionalista Izquierda
000209,P.P.,PARTIDO POPULAR,Centro Derecha
000210,PP,PARTIDO POPULAR,Centro Derecha
000211,PP,PARTIDO POPULAR/PARTIT POPULAR,Centro Derecha
000212,PUM+J,PARTIDO POR UN MUNDO MAS JUSTO,Izquierda
000214,PPCr,PARTIDO POSITIVISTA CRISTIANO,Derecha
000215,P.R.GU.,PARTIDO REGIONALISTA DE GUADALAJARA,Regionalista Derecha
