Código,Siglas,Denominación,Clasificacion
000593,EB,ESCAÑOS EN BLANCO,Centro Derecha
000594,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL (PACMA),Izquierda
000595,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000596,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000600,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000602,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000607,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000608,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000609,PODEMOS,PODEMOS,Izquierda
000610,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000614,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000615,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000616,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro Izquierda
000620,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000623,IU-CHA-UPeC,"UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA, CHUNTA",Izquierda
000624,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,Derecha
000625,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000626,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000627,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000629,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
000630,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000633,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000635,PT,PARTIDO DA TERRA,Regionalista Izquierda
000636,P-LIB,PARTIDO LIBERTARIO,Centro Derecha
000637,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000638,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000639,PODEMOS,PODEMOS,Izquierda
000640,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000642,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000643,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000644,EB,ESCAÑOS EN BLANCO,Centro Derecha
000646,EL PI,EL PI - PROPOSTA PER LES ILLES,Regionalista Derecha
000648,VOX,VOX,Derecha
000649,CILUS,CIUDADANOS LIBRES UNIDOS,Centro Derecha
000652,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000654,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000658,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000660,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000661,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000663,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000665,IU-UPeC,UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA,Izquierda
000668,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000669,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,Regionalista Derecha
000672,VOX,VOX,Derecha
000674,CCa-PNC,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO,Regionalista Derecha
000676,PP,PARTIDO POPULAR,Centro Derecha
000677,VOX,VOX,Derecha
000682,IU-UPeC,UNIDAD POPULAR- ORAIN BATERA:EZKER ANITZA-IZQUIERDA,Izquierda
000686,PP,PARTIDO POPULAR,Centro Derecha
000687,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,Derecha
000690,"IULV-CA, UP",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
000691,PH,PARTIDO HUMANISTA,Centro Izquierda
000696,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000701,P-LIB,PARTIDO LIBERTARIO,Centro Derecha
000705,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000706,"IULV-CA,UPe",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
000707,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000708,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000711,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000712,VOX,VOX,Derecha
000715,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000718,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000719,P-LIB,PARTIDO LIBERTARIO,Centro Derecha
000720,PODEMOS,PODEMOS,Izquierda
000724,PODEMOS,PODEMOS,Izquierda
000725,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000729,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000733,EB,ESCAÑOS EN BLANCO,Centro Derecha
000734,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000738,C's,"CIUDADANOS, PARTIDO DE LA CIUDADANÍA",Centro Derecha
000740,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000744,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000745,PODEMOS,PODEMOS,Izquierda
000748,PODEMOS-AHA,PODEMOS-AHAL DUGU,Izquierda
000749,PODEMOS,PODEMOS,Izquierda
000755,PP,PARTIDO POPULAR,Centro Derecha
000757,EB - AZ,ESCAÑOS EN BLANCO - AULKI ZURIAK,Centro Derecha
000760,IFem,INICIATIVA FEMINISTA,Izquierda
000761,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000762,DL,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,Regionalista Derecha
000764,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000765,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000766,"IULV-CA, UP",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
000768,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000771,IU-B-UPeC,"UNIDAD POPULAR-ORAIN BATERA:IZQUIERDA UNIDA, BATZA",Izquierda
000777,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000779,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000780,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,Regionalista Derecha
000783,PH,PARTIDO HUMANISTA,Centro Izquierda
000785,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000786,VOX,VOX,Derecha
000787,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
000789,PODEMOS,PODEMOS,Izquierda
000790,EU-eX,EXTREMADURA UNIDA-EXTREMEÑOS,Regionalista Derecha
000795,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000796,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000798,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000804,UPeC-IU-IZC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000806,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000807,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000809,PODEMOS,PODEMOS,Izquierda
000811,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000815,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000816,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000818,VOX,VOX,Derecha
000820,VOX,VOX,Derecha
000823,PODEMOS,PODEMOS,Izquierda
000824,PODEMOS,PODEMOS,Izquierda
000825,PODEMOS,PODEMOS,Izquierda
000830,AJU,ANDALUCES DE JAÉN UNIDOS,Regionalista Derecha
000831,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000832,UNIDAD POPU,UNIDAD POPULAR-IZQUIERDA UNIDA,Izquierda
000833,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000835,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000836,X LA IZQUIE,X LA IZQUIERDA-LOS VERDES,Izquierda
000837,ERC-CATSÍ,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,Regionalista Izquierda
000838,EB,ESCAÑOS EN BLANCO,Centro Derecha
000839,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000840,PODEMOS,PODEMOS,Izquierda
000843,IU-CHA-UPeC,"UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA, CHUNTA",Izquierda
000844,PODEMOS,PODEMOS,Izquierda
000847,PODEMOS,PODEMOS,Izquierda
000851,PODEMOS,PODEMOS,Izquierda
000852,IU-UPeC,UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN,Izquierda
000853,EB-AZ,ESCAÑOS EN BLANCO-AULKI ZURIAK,Centro Derecha
000856,NÓS,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),Regionalista Izquierda
000865,Ln,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Regionalista Derecha
000867,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000868,PODEMOS,PODEMOS,Izquierda
000870,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000872,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000874,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
000876,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000878,PP,PARTIDO POPULAR,Centro Derecha
000882,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000884,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,Derecha
000885,EU-eX,EXTREMADURA UNIDA-EXTREMEÑOS,Regionalista Derecha
000888,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000889,PODEMOS,PODEMOS,Izquierda
000893,EUPV-UPeC,"UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ",Izquierda
000894,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000895,P-LIB,PARTIDO LIBERTARIO,Centro Derecha
000897,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000898,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
000900,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000902,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000903,Ln,"LIBERTAD NAVARRA, LIBERTATE NAFARRA (Ln)",Regionalista Derecha
000904,UPB: IU-UPe,"UNITAT POPULAR BALEARS: IZQUIERDA UNIDA, UNIDAD POPULAR",Izquierda
000907,CENTRO MODE,LOS VERDES-ECOPACIFISTAS,Izquierda
000913,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000914,VOX,VOX,Derecha
000920,PACMA,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,Izquierda
000923,PP,PARTIDO POPULAR,Centro Derecha
000925,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000927,SOMVAL,SOM VALENCIANS,Regionalista Derecha
000928,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,Izquierda
000930,DN,DEMOCRACIA NACIONAL,Derecha
000931,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000936,PH,PARTIDO HUMANISTA,Centro Izquierda
000937,EN COMÚ,EN COMÚ PODEM,Izquierda
000938,EN COMÚ,EN COMÚ PODEM,Izquierda
000939,EH Bildu,EUSKAL HERRIA BILDU,Regionalista Izquierda
000943,"IULV-CA, UP",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
000948,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000949,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000950,NÓS,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),Regionalista Izquierda
000952,"IULV-CA, UP",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
000953,PH,PARTIDO HUMANISTA,Centro Izquierda
000955,NÓS,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),Regionalista Izquierda
000956,VOX,VOX,Derecha
000960,PODEMOS-COM,COMPROMÍS-PODEMOS-ÉS EL MOMENT,Izquierda
000961,EB,ESCONS EN BLANC/ESCAÑOS EN BLANCO,Centro Derecha
000967,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000968,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000969,VOX,VOX,Derecha
000974,IU-UPeC,UNIDAD POPULAR: IZQUIERDA UNIDA. UNIDAD POPULAR EN,Izquierda
000980,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000982,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000987,VOX,VOX,Derecha
000988,IFem,INICIATIVA FEMINISTA,Izquierda
000992,+MAS+,MUERTE AL SISTEMA,Izquierda
000995,PFyV,PARTIDO FAMILIA Y VIDA,Derecha
000996,"JS,PC","JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA",Centro Izquierda
000997,VOX,VOX,Derecha
000998,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001001,DN,DEMOCRACIA NACIONAL,Derecha
001002,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001008,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,Izquierda
001009,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
001013,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001014,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000179,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000183,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000196,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro Izquierda
000221,PP,PARTIDO POPULAR,Centro Derecha
000228,C's,CIUDADANOS PARTIDO DE LA CIUDADANÍA,Centro Derecha
000253,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000257,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000263,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000282,PP,PARTIDO POPULAR,Centro Derecha
000284,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000287,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000288,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000289,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000291,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000292,IU-CHA-UPeC,"UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA, CHUNTA",Izquierda
000294,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000295,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000296,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000298,C's,CIUDADANOS PARTIDO DE LA CIUDADANÍA,Centro Derecha
000300,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000301,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000304,PP,PARTIDO POPULAR,Centro Derecha
000306,PP,PARTIDO POPULAR,Centro Derecha
000309,PSOE-NCa,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,Centro Izquierda
000311,EUPV-UPeC,"UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ,",Izquierda
000312,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000314,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000318,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000320,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,Centro Izquierda
000322,PP,PARTIDO POPULAR,Centro Derecha
000325,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000328,EB,ESCAÑOS EN BLANCO,Centro Derecha
000329,C's,CIUTADANS - PARTIDO DE LA CIUDADANÍA,Centro Derecha
000330,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000335,DN,DEMOCRACIA NACIONAL,Derecha
000339,PACMA,PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,Izquierda
000343,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000345,Unio.Cat,UNIÓ DEMOCRÀTICA DE CATALUNYA,Centro Derecha
000346,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000347,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000352,PP,PARTIDO POPULAR,Centro Derecha
000353,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000355,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000357,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000360,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000362,PSC,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),Centro Izquierda
000364,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000368,PP,PARTIDO POPULAR,Centro Derecha
000369,UPeC-IU,"UNIDAD POPULAR: UNIDAD POPULAR EN COMÚN, IZQUIERDA",Izquierda
000372,PP-PAR,PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGON,Centro Derecha
000374,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000375,VOX,VOX,Derecha
000376,ARAPV,"ARA, PAÍS VALENCIÀ",Regionalista Izquierda
000378,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001015,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001016,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,Izquierda
001019,PODEMOS,PODEMOS,Izquierda
001020,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,Derecha
001021,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
001022,PCPE,COMUNISTAS DA GALIZA-PCPE,Izquierda
001029,PODEMOS - C,COMPROMÍS-PODEMOS-ÉS EL MOMENT,Izquierda
001031,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
001032,MÉS,MÉS,Regionalista Izquierda
001033,PODEMOS,PODEMOS,Izquierda
001038,IU-UpeC,UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA,Izquierda
001040,SOMVAL,SOM VALENCIANS,Regionalista Derecha
001041,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001044,PODEMOS,PODEMOS,Izquierda
001045,IFem,INICIATIVA FEMINISTA,Izquierda
001047,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001050,PP-PAR,PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGON,Centro Derecha
001052,mlgXSÍ,MÁLAGA POR SÍ,Regionalista Derecha
001053,VOX,VOX,Derecha
001054,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001055,PODEMOS,PODEMOS,Izquierda
001056,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
001059,VOX,VOX,Derecha
001063,CRA,CIUDADANOS RURALES AGRUPADOS,Centro Derecha
001064,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001066,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001070,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001071,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001073,DL,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,Regionalista Derecha
001080,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001082,PODEMOS-En,EN MAREA,Regionalista Izquierda
001083,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001084,PODEMOS-COM,COMPROMÍS-PODEMOS-ÉS EL MOMENT,Izquierda
001086,PODEMOS,PODEMOS,Izquierda
001087,Independien,INDEPENDIENTES POR ARAGÓN,Regionalista Derecha
001088,AVANT,AVANT VALENCIANS,Regionalista Derecha
001090,PODEMOS,PODEMOS,Izquierda
001096,VOX,VOX,Derecha
001097,PODEMOS,PODEMOS,Izquierda
001100,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001104,PODEMOS,PODEMOS,Izquierda
001105,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001109,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001111,PCPE,COMUNISTAS DA GALIZA,Izquierda
001116,CCD,CIUDADANOS DE CENTRO DEMOCRÁTICO,Centro Derecha
001117,PODEMOS,PODEMOS,Izquierda
001121,VOX,VOX,Derecha
001126,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001127,OE,ONGI ETORRI,Regionalista Izquierda
001128,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001132,PT,PARTIDO DA TERRA,Regionalista Izquierda
001136,PCPC,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,Izquierda
001137,DN,DEMOCRACIA NACIONAL,Derecha
001138,FDEE,FORO DEMÓCRATA,Centro Derecha
001139,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001142,PODEMOS,PODEMOS,Izquierda
001144,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001150,"IULV-CA,UPe",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
001156,PODEMOS-AHA,PODEMOS-AHAL DUGU,Izquierda
001157,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001159,PODEMOS,PODEMOS,Izquierda
001160,PODEMOS,PODEMOS,Izquierda
001162,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001163,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001164,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001165,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001166,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
001169,PP,PARTIDO POPULAR,Centro Derecha
001176,EB,ESCAÑOS EN BLANCO,Centro Derecha
001177,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
001178,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001179,PODEMOS,PODEMOS,Izquierda
001180,IUC-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA CANARIA, UNIDAD POPULAR",Izquierda
001182,EB,ESCAÑOS EN BLANCO,Centro Derecha
001185,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001186,PODEMOS-EN,EN MAREA,Regionalista Izquierda
001188,PODEMOS,PODEMOS,Izquierda
001190,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001192,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001193,NÓS,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),Regionalista Izquierda
001194,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
001198,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001213,"IULV-CA,UPe",UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,Izquierda
001215,VOX,VOX,Derecha
001218,PODEMOS,PODEMOS,Izquierda
001219,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001222,EZKERRA,EZKERRA-X LA IZQUIERDA,Izquierda
001223,EN COMÚ,"EN COMÚ PODEM",Izquierda
001227,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,Izquierda
001231,VOX,VOX,Derecha
001238,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001239,DN,DEMOCRACIA NACIONAL,Derecha
001240,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
001245,VOX,VOX,Derecha
001248,PUM+J,POR UN MUNDO MÁS JUSTO,Izquierda
001250,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001256,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,Derecha
001261,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001262,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001263,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001271,VOX,VOX,Derecha
001276,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001279,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
001280,PT,PARTIDO DA TERRA,Regionalista Izquierda
001281,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001284,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
001287,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
001289,PODEMOS-En,EN MAREA,Regionalista Izquierda
001291,PODEMOS-En,EN MAREA,Regionalista Izquierda
001293,UP-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
001296,CCD,CIUDADANOS DE CENTRO DEMOCRÁTICO,Centro Derecha
001297,PUM+J,POR UN MUNDO MÁS JUSTO,Izquierda
