Lugar de condena;Nacionalidad;Periodo;Total
35 Palmas, Las;Total;2017;10.556
35 Palmas, Las;Total;2016;9.408
35 Palmas, Las;Total;2015;7.721
35 Palmas, Las;Total;2014;7.623
35 Palmas, Las;Total;2013;7.423
36 Pontevedra;Total;2023;7.476
36 Pontevedra;Total;2022;7.710
36 Pontevedra;Total;2021;7.654
36 Pontevedra;Total;2020;5.548
36 Pontevedra;Total;2019;7.535
36 Pontevedra;Total;2018;6.199
36 Pontevedra;Total;2017;7.204
36 Pontevedra;Total;2016;6.631
36 Pontevedra;Total;2015;5.909
36 Pontevedra;Total;2014;5.695
36 Pontevedra;Total;2013;5.740
26 Rioja, La;Total;2023;2.379
26 Rioja, La;Total;2022;3.095
26 Rioja, La;Total;2021;2.971
26 Rioja, La;Total;2020;1.911
26 Rioja, La;Total;2019;2.439
26 Rioja, La;Total;2018;2.734
26 Rioja, La;Total;2017;2.476
26 Rioja, La;Total;2016;2.561
26 Rioja, La;Total;2015;1.956
26 Rioja, La;Total;2014;1.890
26 Rioja, La;Total;2013;1.686
37 Salamanca;Total;2023;1.847
37 Salamanca;Total;2022;2.082
37 Salamanca;Total;2021;2.271
37 Salamanca;Total;2020;1.717
37 Salamanca;Total;2019;2.282
37 Salamanca;Total;2018;2.272
37 Salamanca;Total;2017;2.021
37 Salamanca;Total;2016;1.891
37 Salamanca;Total;2015;1.422
37 Salamanca;Total;2014;1.326
37 Salamanca;Total;2013;1.370
38 Santa Cruz de Tenerife;Total;2023;9.536
38 Santa Cruz de Tenerife;Total;2022;9.779
38 Santa Cruz de Tenerife;Total;2021;10.169
38 Santa Cruz de Tenerife;Total;2020;7.618
38 Santa Cruz de Tenerife;Total;2019;10.081
38 Santa Cruz de Tenerife;Total;2018;9.852
38 Santa Cruz de Tenerife;Total;2017;10.277
38 Santa Cruz de Tenerife;Total;2016;10.569
38 Santa Cruz de Tenerife;Total;2015;8.592
38 Santa Cruz de Tenerife;Total;2014;8.076
38 Santa Cruz de Tenerife;Total;2013;6.903
40 Segovia;Total;2023;757
40 Segovia;Total;2022;1.044
40 Segovia;Total;2021;1.026
40 Segovia;Total;2020;599
